threshold,precision,recall,f1,accuracy,specificity,fpr,fnr,tn,fp,fn,tp,total_cost,model,calibration
0.38,0.6149383611312546,0.5202453987730061,0.5636424061149884,0.835875,0.9166405023547881,0.08335949764521189,0.47975460122699387,5839,531,782,848,4441.0,HistGradientBoosting+sigmoid,sigmoid
0.39,0.6193308550185873,0.5110429447852761,0.5599999999999999,0.836375,0.9196232339089482,0.08037676609105182,0.48895705521472393,5858,512,797,833,4497.0,HistGradientBoosting+sigmoid,sigmoid
0.4,0.625,0.5061349693251533,0.559322033898305,0.8375,0.9222919937205651,0.07770800627943486,0.4938650306748466,5875,495,805,825,4520.0,HistGradientBoosting+sigmoid,sigmoid
0.41,0.6322282189668466,0.5030674846625767,0.5603006491288007,0.839125,0.9251177394034537,0.07488226059654635,0.49693251533742333,5893,477,810,820,4527.0,HistGradientBoosting+sigmoid,sigmoid
0.42,0.6341463414634146,0.49447852760736194,0.5556704584625991,0.838875,0.9270015698587127,0.07299843014128726,0.505521472392638,5905,465,824,806,4585.0,HistGradientBoosting+sigmoid,sigmoid
0.43,0.6352848101265823,0.49263803680981594,0.5549412577747064,0.839,0.9276295133437991,0.07237048665620094,0.507361963190184,5909,461,827,803,4596.0,HistGradientBoosting+sigmoid,sigmoid
0.44,0.6426839126919968,0.48773006134969327,0.5545866759679107,0.840375,0.9306122448979591,0.06938775510204087,0.5122699386503068,5928,442,835,795,4617.0,HistGradientBoosting+sigmoid,sigmoid
0.45,0.6472995090016367,0.4852760736196319,0.5546984572230014,0.84125,0.9323390894819467,0.06766091051805334,0.5147239263803681,5939,431,839,791,4626.0,HistGradientBoosting+sigmoid,sigmoid
0.46,0.6479338842975206,0.48098159509202454,0.5521126760563381,0.841,0.9331240188383045,0.06687598116169546,0.5190184049079755,5944,426,846,784,4656.0,HistGradientBoosting+sigmoid,sigmoid
0.47,0.6544368600682594,0.4705521472392638,0.5474660956459672,0.8415,0.9364207221350078,0.06357927786499218,0.5294478527607362,5965,405,863,767,4720.0,HistGradientBoosting+sigmoid,sigmoid
0.48,0.6593115622241836,0.4582822085889571,0.5407166123778502,0.841375,0.939403453689168,0.060596546310832,0.5417177914110429,5984,386,883,747,4801.0,HistGradientBoosting+sigmoid,sigmoid
0.49,0.6623735050597976,0.44171779141104295,0.5299963194700036,0.840375,0.9423861852433281,0.05761381475667193,0.558282208588957,6003,367,910,720,4917.0,HistGradientBoosting+sigmoid,sigmoid
0.5,0.6654099905749293,0.4331288343558282,0.5247120029728726,0.840125,0.9442700156985872,0.05572998430141285,0.5668711656441717,6015,355,924,706,4975.0,HistGradientBoosting+sigmoid,sigmoid
0.51,0.6721470019342359,0.4263803680981595,0.5217717717717718,0.84075,0.9467817896389324,0.05321821036106755,0.5736196319018405,6031,339,935,695,5014.0,HistGradientBoosting+sigmoid,sigmoid
0.52,0.6751219512195122,0.4245398773006135,0.5212806026365349,0.841125,0.947723704866562,0.05227629513343801,0.5754601226993865,6037,333,938,692,5023.0,HistGradientBoosting+sigmoid,sigmoid
0.53,0.6752730883813307,0.4171779141104294,0.5157375805839969,0.840375,0.9486656200941915,0.05133437990580847,0.5828220858895705,6043,327,950,680,5077.0,HistGradientBoosting+sigmoid,sigmoid
0.54,0.6757028112449799,0.4128834355828221,0.5125666412795125,0.84,0.9492935635792779,0.050706436420722145,0.587116564417178,6047,323,957,673,5108.0,HistGradientBoosting+sigmoid,sigmoid
0.55,0.680628272251309,0.3987730061349693,0.5029013539651838,0.839375,0.9521193092621664,0.04788069073783363,0.6012269938650306,6065,305,980,650,5205.0,HistGradientBoosting+sigmoid,sigmoid
0.56,0.6867469879518072,0.38466257668711656,0.49311836413684623,0.838875,0.9551020408163265,0.04489795918367345,0.6153374233128834,6084,286,1003,627,5301.0,HistGradientBoosting+sigmoid,sigmoid
0.57,0.6935672514619883,0.3638036809815951,0.47726358148893366,0.837625,0.9588697017268446,0.0411302982731554,0.6361963190184049,6108,262,1037,593,5447.0,HistGradientBoosting+sigmoid,sigmoid
0.58,0.6958698372966208,0.3411042944785276,0.45780156442980646,0.835375,0.9618524332810047,0.03814756671899533,0.6588957055214724,6127,243,1074,556,5613.0,HistGradientBoosting+sigmoid,sigmoid
0.59,0.7071524966261808,0.3214723926380368,0.4420075917334458,0.834625,0.9659340659340659,0.034065934065934056,0.6785276073619632,6153,217,1106,524,5747.0,HistGradientBoosting+sigmoid,sigmoid
0.6,0.7216494845360825,0.3006134969325153,0.42442615851017756,0.833875,0.9703296703296703,0.029670329670329676,0.6993865030674846,6181,189,1140,490,5889.0,HistGradientBoosting+sigmoid,sigmoid
0.61,0.7396351575456053,0.27361963190184047,0.3994626063591581,0.832375,0.975353218210361,0.024646781789638972,0.7263803680981595,6213,157,1184,446,6077.0,HistGradientBoosting+sigmoid,sigmoid
0.62,0.7580340264650284,0.2460122699386503,0.3714682723483094,0.830375,0.9799058084772371,0.020094191522762928,0.7539877300613497,6242,128,1229,401,6273.0,HistGradientBoosting+sigmoid,sigmoid
0.63,0.7688679245283019,0.2,0.31742940603700104,0.82475,0.9846153846153847,0.01538461538461533,0.8,6272,98,1304,326,6618.0,HistGradientBoosting+sigmoid,sigmoid
0.64,0.7982708933717579,0.16993865030674846,0.28022255943348506,0.822125,0.989010989010989,0.01098901098901095,0.8300613496932515,6300,70,1353,277,6835.0,HistGradientBoosting+sigmoid,sigmoid
0.65,0.8382838283828383,0.1558282208588957,0.2628039317123642,0.821875,0.9923076923076923,0.007692307692307665,0.8441717791411043,6321,49,1376,254,6929.0,HistGradientBoosting+sigmoid,sigmoid
0.66,0.8551236749116607,0.14846625766871166,0.2530057501306848,0.821375,0.993563579277865,0.006436420722135017,0.8515337423312883,6329,41,1388,242,6981.0,HistGradientBoosting+sigmoid,sigmoid
0.67,0.8849206349206349,0.13680981595092023,0.23698193411264612,0.8205,0.9954474097331241,0.004552590266875933,0.8631901840490798,6341,29,1407,223,7064.0,HistGradientBoosting+sigmoid,sigmoid
0.68,0.8940677966101694,0.1294478527607362,0.22615219721329047,0.8195,0.9960753532182104,0.003924646781789609,0.8705521472392638,6345,25,1419,211,7120.0,HistGradientBoosting+sigmoid,sigmoid
0.69,0.9,0.12147239263803682,0.21405405405405406,0.81825,0.9965463108320252,0.0034536891679748383,0.8785276073619632,6348,22,1432,198,7182.0,HistGradientBoosting+sigmoid,sigmoid
0.7,0.909952606635071,0.11779141104294479,0.2085822922324823,0.817875,0.9970172684458398,0.0029827315541601784,0.8822085889570552,6351,19,1438,192,7209.0,HistGradientBoosting+sigmoid,sigmoid
0.71,0.9134615384615384,0.1165644171779141,0.20674646354733403,0.81775,0.9971742543171115,0.002825745682888514,0.8834355828220859,6352,18,1440,190,7218.0,HistGradientBoosting+sigmoid,sigmoid
0.72,0.9170731707317074,0.11533742331288344,0.20490463215258853,0.817625,0.997331240188383,0.002668759811616961,0.8846625766871166,6353,17,1442,188,7227.0,HistGradientBoosting+sigmoid,sigmoid
0.73,0.9203980099502488,0.11349693251533742,0.2020753686510104,0.817375,0.9974882260596546,0.0025117739403454076,0.8865030674846626,6354,16,1445,185,7241.0,HistGradientBoosting+sigmoid,sigmoid
0.74,0.92,0.11288343558282209,0.20109289617486342,0.81725,0.9974882260596546,0.0025117739403454076,0.8871165644171779,6354,16,1446,184,7246.0,HistGradientBoosting+sigmoid,sigmoid
0.75,0.9195979899497487,0.11226993865030675,0.20010934937124114,0.817125,0.9974882260596546,0.0025117739403454076,0.8877300613496932,6354,16,1447,183,7251.0,HistGradientBoosting+sigmoid,sigmoid
